زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
16:20                                                     1405/05/06,376.8mm,248W/m2,142.7degree,36.5°C,13.6%,3.3km/h,91.2kPa
16:20                                                     1405/05/07,376.8mm,131W/m2,81.0degree,30.2°C,31.2%,17.6km/h,91.4kPa
16:20                                                     1405/05/08,376.8mm,268W/m2,55.6degree,29.4°C,26.9%,24.3km/h,91.5kPa
16:20                                                     1405/05/09,376.8mm,114W/m2,58.4degree,24.1°C,33.5%,12.7km/h,91.6kPa
16:20                                                     1405/05/10,378.4mm,293W/m2,68.6degree,22.6°C,50.1%,28.0km/h,91.9kPa
16:20                                                     1405/05/11,378.4mm,268W/m2,52.7degree,27.3°C,31.1%,12.1km/h,91.5kPa
16:30                                                     1405/03/21,290.2mm,159W/m2,291.7degree,24.3°C,24.2%,5.8km/h,91.3kPa
16:30                                                     1405/03/22,290.6mm,15W/m2,327.4degree,18.5°C,50.9%,8.4km/h,92.0kPa
16:30                                                     1405/03/23,290.6mm,145W/m2,143.4degree,26.8°C,26.5%,6.2km/h,91.9kPa
16:30                                                     1405/03/25,295.0mm,61W/m2,150.4degree,18.4°C,78.4%,8.4km/h,90.8kPa
16:30                                                     1405/03/26,295.0mm,157W/m2,183.7degree,25.3°C,38.9%,14.0km/h,91.2kPa
16:30                                                     1405/03/27,296.0mm,154W/m2,208.8degree,24.5°C,45.8%,32.4km/h,90.7kPa
16:30                                                     1405/03/29,304.2mm,149W/m2,358.5degree,22.2°C,27.4%,3.3km/h,90.7kPa
16:30                                                     1405/03/30,325.8mm,100W/m2,209.5degree,23.4°C,25.1%,8.7km/h,91.0kPa
16:30                                                     1405/03/31,325.8mm,184W/m2,197.4degree,26.3°C,18.6%,8.1km/h,90.8kPa
16:30                                                     1405/04/01,350.4mm,48W/m2,18.6degree,11.8°C,84.6%,5.8km/h,91.5kPa
16:30                                                     1405/04/02,350.6mm,59W/m2,103.7degree,13.1°C,66.1%,11.2km/h,91.8kPa
16:30                                                     1405/04/03,350.6mm,180W/m2,174.6degree,20.7°C,42.0%,6.6km/h,91.3kPa
16:30                                                     1405/04/04,350.6mm,171W/m2,208.6degree,23.9°C,32.3%,17.3km/h,90.9kPa
16:30                                                     1405/04/08,406.4mm,123W/m2,23.8degree,16.0°C,59.1%,2.1km/h,91.3kPa
16:30                                                     1405/04/09,406.4mm,74W/m2,348.1degree,16.4°C,55.7%,5.2km/h,91.6kPa
16:30                                                     1405/04/10,406.8mm,79W/m2,246.0degree,17.6°C,61.3%,0.2km/h,92.1kPa
16:30                                                     1405/04/11,406.8mm,205W/m2,142.2degree,24.7°C,25.5%,7.8km/h,92.3kPa
16:30                                                     1405/04/12,355.2mm,216W/m2,153.6degree,25.7°C,26.0%,8.5km/h,91.7kPa
16:30                                                     1405/04/13,355.2mm,179W/m2,134.4degree,27.8°C,26.0%,8.8km/h,91.4kPa
16:30                                                     1405/04/14,355.2mm,189W/m2,279.3degree,26.9°C,19.2%,19.0km/h,91.3kPa
16:30                                                     1405/04/16,355.2mm,201W/m2,77.8degree,13.0°C,57.9%,12.3km/h,91.9kPa
16:30                                                     1405/04/17,355.2mm,153W/m2,67.9degree,15.5°C,40.8%,13.0km/h,92.1kPa
16:30                                                     1405/04/18,355.2mm,199W/m2,86.5degree,21.6°C,32.1%,6.8km/h,91.7kPa
16:30                                                     1405/04/20,355.2mm,120W/m2,151.4degree,29.2°C,29.9%,7.0km/h,91.1kPa
16:30                                                     1405/04/21,355.2mm,121W/m2,76.9degree,25.1°C,39.0%,9.9km/h,91.0kPa
16:30                                                     1405/04/22,358.8mm,233W/m2,62.6degree,21.3°C,69.4%,5.8km/h,91.1kPa
16:30                                                     1405/04/24,376.8mm,103W/m2,38.2degree,23.8°C,44.6%,11.7km/h,91.3kPa
16:30                                                     1405/04/25,376.8mm,108W/m2,140.8degree,29.1°C,34.9%,3.7km/h,91.6kPa
16:30                                                     1405/04/26,376.8mm,133W/m2,65.3degree,20.6°C,45.4%,18.7km/h,91.9kPa
16:30                                                     1405/04/27,376.8mm,217W/m2,119.3degree,24.8°C,36.7%,9.1km/h,91.2kPa
16:30                                                     1405/04/29,376.8mm,235W/m2,117.5degree,27.6°C,28.4%,7.8km/h,91.2kPa
16:30                                                     1405/04/30,376.8mm,54W/m2,83.7degree,21.9°C,45.0%,14.4km/h,91.3kPa
16:30                                                     1405/05/01,376.8mm,68W/m2,61.2degree,17.1°C,59.4%,11.8km/h,91.7kPa
16:30                                                     1405/05/03,376.8mm,239W/m2,57.4degree,26.2°C,28.1%,12.3km/h,91.8kPa
16:30                                                     1405/05/04,376.8mm,237W/m2,90.4degree,29.2°C,21.5%,8.0km/h,91.6kPa
16:30                                                     1405/05/05,376.8mm,105W/m2,164.3degree,34.2°C,15.4%,10.5km/h,91.5kPa
16:30                                                     1405/05/07,376.8mm,119W/m2,80.4degree,30.1°C,31.9%,8.2km/h,91.4kPa
16:30                                                     1405/05/08,376.8mm,228W/m2,75.0degree,29.4°C,27.1%,17.2km/h,91.5kPa
16:30                                                     1405/05/09,376.8mm,78W/m2,47.3degree,23.8°C,33.4%,21.5km/h,91.5kPa
16:30                                                     1405/05/10,378.4mm,284W/m2,54.3degree,22.2°C,51.5%,21.0km/h,91.9kPa
16:40                                                     1405/03/21,290.2mm,129W/m2,260.4degree,24.1°C,24.7%,5.5km/h,91.3kPa
16:40                                                     1405/03/22,290.6mm,21W/m2,17.9degree,17.8°C,45.9%,10.9km/h,91.8kPa
16:40                                                     1405/03/23,290.6mm,118W/m2,132.9degree,26.6°C,26.9%,7.7km/h,91.9kPa
16:40                                                     1405/03/24,290.6mm,28W/m2,212.3degree,24.0°C,28.1%,13.4km/h,91.4kPa
16:40                                                     1405/03/25,295.0mm,36W/m2,134.3degree,18.0°C,80.7%,7.5km/h,90.8kPa
16:40                                                     1405/03/26,295.0mm,131W/m2,182.4degree,24.9°C,39.2%,12.5km/h,91.2kPa
16:40                                                     1405/03/27,297.2mm,116W/m2,204.4degree,24.2°C,46.0%,39.9km/h,90.7kPa
16:40                                                     1405/03/28,304.2mm,152W/m2,266.2degree,22.5°C,27.5%,7.5km/h,90.7kPa
16:40                                                     1405/03/29,304.2mm,135W/m2,317.9degree,21.9°C,30.9%,6.1km/h,90.7kPa
16:40                                                     1405/03/30,325.8mm,56W/m2,253.3degree,23.1°C,25.9%,5.1km/h,91.0kPa
16:40                                                     1405/04/01,350.4mm,43W/m2,353.3degree,11.6°C,81.9%,5.1km/h,91.5kPa
16:40                                                     1405/04/02,350.6mm,37W/m2,113.5degree,12.9°C,67.1%,9.0km/h,91.7kPa
16:40                                                     1405/04/03,350.6mm,158W/m2,146.1degree,20.4°C,43.0%,8.2km/h,91.3kPa
16:40                                                     1405/04/08,406.4mm,130W/m2,35.0degree,16.1°C,59.7%,1.9km/h,91.3kPa
16:40                                                     1405/04/09,406.4mm,36W/m2,346.0degree,16.3°C,57.8%,7.2km/h,91.6kPa
16:40                                                     1405/04/10,406.8mm,105W/m2,63.3degree,17.8°C,63.8%,2.5km/h,92.1kPa
16:40                                                     1405/04/11,406.8mm,178W/m2,130.5degree,24.7°C,27.5%,8.4km/h,92.3kPa
16:40                                                     1405/04/12,355.2mm,195W/m2,156.9degree,25.4°C,27.0%,7.0km/h,91.7kPa
16:40                                                     1405/04/13,355.2mm,149W/m2,143.8degree,27.6°C,27.1%,6.6km/h,91.4kPa
16:40                                                     1405/04/14,355.2mm,166W/m2,271.0degree,26.7°C,18.2%,16.3km/h,91.4kPa
16:40                                                     1405/04/15,355.2mm,140W/m2,86.0degree,18.8°C,46.3%,13.1km/h,91.6kPa
16:40                                                     1405/04/16,355.2mm,170W/m2,72.4degree,13.1°C,57.8%,14.6km/h,91.9kPa
16:40                                                     1405/04/17,355.2mm,138W/m2,80.0degree,15.5°C,40.7%,16.1km/h,92.1kPa
16:40                                                     1405/04/18,355.2mm,170W/m2,107.7degree,21.5°C,31.9%,11.1km/h,91.7kPa
16:40                                                     1405/04/19,355.2mm,106W/m2,164.5degree,25.7°C,29.2%,5.3km/h,91.3kPa
16:40                                                     1405/04/20,355.2mm,112W/m2,212.9degree,29.5°C,23.9%,5.5km/h,91.0kPa
16:40                                                     1405/04/21,355.2mm,91W/m2,114.5degree,24.1°C,41.0%,9.6km/h,90.9kPa
16:40                                                     1405/04/22,358.8mm,184W/m2,54.3degree,21.5°C,66.0%,10.6km/h,91.2kPa
16:40                                                     1405/04/23,367.4mm,190W/m2,102.5degree,25.2°C,45.9%,12.4km/h,91.3kPa
16:40                                                     1405/04/24,376.8mm,57W/m2,58.6degree,24.1°C,40.8%,4.9km/h,91.4kPa
16:40                                                     1405/04/25,376.8mm,81W/m2,154.1degree,28.6°C,36.1%,3.4km/h,91.5kPa
16:40                                                     1405/04/26,376.8mm,149W/m2,68.6degree,20.6°C,46.5%,12.1km/h,91.9kPa
16:40                                                     1405/04/27,376.8mm,60W/m2,60.0degree,24.5°C,36.8%,8.7km/h,91.2kPa
16:40                                                     1405/04/28,376.8mm,184W/m2,54.9degree,27.0°C,27.3%,18.6km/h,91.3kPa
16:40                                                     1405/04/29,376.8mm,200W/m2,99.8degree,27.5°C,27.6%,16.7km/h,91.2kPa
16:40                                                     1405/04/30,376.8mm,84W/m2,59.9degree,22.0°C,45.2%,12.5km/h,91.4kPa
16:40                                                     1405/05/02,376.8mm,210W/m2,113.8degree,24.4°C,37.8%,8.7km/h,91.7kPa
16:40                                                     1405/05/03,376.8mm,216W/m2,78.9degree,26.3°C,27.9%,18.5km/h,91.8kPa
16:40                                                     1405/05/04,376.8mm,208W/m2,77.9degree,29.3°C,22.1%,7.3km/h,91.6kPa
16:40                                                     1405/05/05,376.8mm,192W/m2,135.9degree,34.2°C,15.9%,7.8km/h,91.5kPa
16:40                                                     1405/05/06,376.8mm,102W/m2,138.8degree,35.7°C,14.2%,6.0km/h,91.2kPa
16:40                                                     1405/05/07,376.8mm,77W/m2,52.9degree,29.7°C,32.0%,14.6km/h,91.4kPa
16:40                                                     1405/05/08,376.8mm,198W/m2,69.5degree,29.3°C,27.5%,21.5km/h,91.5kPa
16:40                                                     1405/05/09,376.8mm,68W/m2,61.4degree,23.6°C,33.8%,19.5km/h,91.5kPa
16:40                                                     1405/05/10,378.4mm,108W/m2,58.8degree,21.8°C,52.0%,20.8km/h,92.0kPa
16:40                                                     1405/05/11,378.4mm,219W/m2,70.2degree,27.1°C,29.5%,17.2km/h,91.4kPa
16:50                                                     1405/03/21,290.2mm,108W/m2,260.1degree,23.9°C,26.2%,3.0km/h,91.3kPa
16:50                                                     1405/03/22,290.6mm,60W/m2,336.8degree,16.3°C,56.7%,4.3km/h,91.8kPa
16:50                                                     1405/03/23,290.6mm,91W/m2,157.8degree,26.3°C,28.2%,2.5km/h,91.9kPa
16:50                                                     1405/03/25,295.0mm,13W/m2,138.7degree,17.6°C,81.4%,10.4km/h,90.8kPa
16:50                                                     1405/03/26,295.0mm,105W/m2,178.2degree,24.6°C,40.0%,11.9km/h,91.2kPa
16:50                                                     1405/03/27,297.2mm,84W/m2,189.0degree,23.5°C,48.6%,32.4km/h,90.6kPa
16:50                                                     1405/03/29,304.2mm,30W/m2,295.2degree,20.0°C,39.4%,3.2km/h,90.8kPa
16:50                                                     1405/03/30,325.8mm,31W/m2,48.9degree,22.6°C,24.1%,6.8km/h,90.9kPa
16:50                                                     1405/03/31,325.8mm,131W/m2,173.9degree,25.8°C,20.1%,14.0km/h,90.8kPa
16:50                                                     1405/04/01,350.4mm,25W/m2,349.0degree,11.4°C,82.4%,4.6km/h,91.5kPa
16:50                                                     1405/04/02,350.6mm,44W/m2,110.8degree,12.7°C,68.6%,8.0km/h,91.7kPa
16:50                                                     1405/04/03,350.6mm,131W/m2,148.3degree,20.4°C,42.5%,6.4km/h,91.3kPa
16:50                                                     1405/04/04,350.6mm,76W/m2,201.0degree,23.5°C,33.3%,15.7km/h,90.9kPa
16:50                                                     1405/04/08,406.4mm,80W/m2,67.0degree,16.2°C,59.4%,3.4km/h,91.3kPa
16:50                                                     1405/04/09,406.4mm,37W/m2,41.8degree,15.8°C,59.3%,6.6km/h,91.6kPa
16:50                                                     1405/04/11,406.8mm,152W/m2,161.5degree,24.7°C,28.3%,7.4km/h,92.3kPa
16:50                                                     1405/04/12,355.2mm,175W/m2,162.4degree,25.8°C,27.0%,3.3km/h,91.7kPa
16:50                                                     1405/04/13,355.2mm,123W/m2,149.3degree,26.9°C,29.5%,7.9km/h,91.3kPa
16:50                                                     1405/04/14,355.2mm,131W/m2,327.5degree,26.2°C,20.3%,4.7km/h,91.4kPa
16:50                                                     1405/04/15,355.2mm,65W/m2,63.5degree,18.1°C,48.2%,14.3km/h,91.6kPa
16:50                                                     1405/04/16,355.2mm,141W/m2,90.6degree,13.1°C,57.5%,6.3km/h,91.9kPa
16:50                                                     1405/04/17,355.2mm,94W/m2,63.6degree,15.1°C,42.3%,15.2km/h,92.1kPa
16:50                                                     1405/04/18,355.2mm,142W/m2,81.3degree,21.4°C,31.7%,8.4km/h,91.7kPa
16:50                                                     1405/04/19,355.2mm,90W/m2,158.7degree,25.4°C,30.4%,6.2km/h,91.3kPa
16:50                                                     1405/04/20,355.2mm,115W/m2,210.7degree,29.5°C,24.9%,4.3km/h,91.0kPa
16:50                                                     1405/04/21,355.2mm,129W/m2,88.9degree,23.8°C,42.4%,9.9km/h,90.9kPa
16:50                                                     1405/04/22,358.8mm,40W/m2,120.6degree,20.4°C,68.1%,14.1km/h,91.1kPa
16:50                                                     1405/04/24,376.8mm,49W/m2,24.8degree,23.5°C,42.7%,8.1km/h,91.3kPa
16:50                                                     1405/04/26,376.8mm,159W/m2,83.6degree,20.8°C,45.2%,10.2km/h,91.9kPa
16:50                                                     1405/04/27,376.8mm,152W/m2,67.0degree,24.6°C,37.8%,5.4km/h,91.2kPa
16:50                                                     1405/04/29,376.8mm,176W/m2,83.9degree,27.2°C,29.3%,19.2km/h,91.2kPa
16:50                                                     1405/04/30,376.8mm,66W/m2,59.4degree,22.0°C,44.5%,17.8km/h,91.3kPa
16:50                                                     1405/05/01,376.8mm,41W/m2,76.8degree,16.9°C,59.8%,19.8km/h,91.7kPa
16:50                                                     1405/05/03,376.8mm,188W/m2,62.5degree,25.9°C,29.3%,12.3km/h,91.8kPa
16:50                                                     1405/05/04,376.8mm,182W/m2,85.9degree,29.4°C,21.5%,7.8km/h,91.6kPa
16:50                                                     1405/05/05,376.8mm,157W/m2,135.0degree,34.1°C,16.2%,5.8km/h,91.5kPa
16:50                                                     1405/05/07,376.8mm,101W/m2,81.1degree,29.5°C,32.4%,14.7km/h,91.4kPa
16:50                                                     1405/05/08,376.8mm,168W/m2,64.3degree,29.1°C,27.8%,19.4km/h,91.5kPa
16:50                                                     1405/05/09,376.8mm,26W/m2,53.8degree,23.7°C,34.3%,8.4km/h,91.6kPa
16:50                                                     1405/05/10,378.4mm,192W/m2,67.6degree,21.7°C,52.3%,31.7km/h,91.9kPa
16:50                                                     1405/05/11,378.4mm,194W/m2,93.4degree,27.0°C,29.7%,15.4km/h,91.5kPa
17:00                                                     1405/03/21,290.2mm,77W/m2,290.9degree,23.5°C,27.1%,4.1km/h,91.3kPa
17:00                                                     1405/03/22,290.6mm,47W/m2,305.4degree,15.9°C,57.2%,8.1km/h,91.8kPa
17:00                                                     1405/03/23,290.6mm,64W/m2,138.2degree,25.9°C,28.8%,4.4km/h,91.8kPa
17:00                                                     1405/03/24,290.6mm,21W/m2,214.1degree,23.4°C,29.6%,10.6km/h,91.4kPa
17:00                                                     1405/03/25,295.0mm,10W/m2,144.2degree,17.1°C,82.6%,5.3km/h,90.8kPa
17:00                                                     1405/03/26,295.0mm,76W/m2,184.8degree,24.2°C,42.3%,10.1km/h,91.2kPa
17:00                                                     1405/03/27,297.2mm,72W/m2,192.9degree,23.5°C,49.2%,27.5km/h,90.7kPa
17:00                                                     1405/03/28,304.2mm,98W/m2,255.2degree,21.8°C,28.7%,7.7km/h,90.7kPa
17:00                                                     1405/03/29,304.2mm,17W/m2,315.2degree,18.7°C,43.6%,2.6km/h,90.8kPa
17:00                                                     1405/03/30,325.8mm,15W/m2,124.4degree,22.4°C,24.3%,3.1km/h,90.9kPa
17:00                                                     1405/03/31,325.8mm,105W/m2,200.6degree,25.7°C,19.0%,5.4km/h,90.8kPa
17:00                                                     1405/04/01,350.4mm,24W/m2,29.9degree,11.3°C,82.2%,6.9km/h,91.5kPa
17:00                                                     1405/04/02,350.6mm,60W/m2,83.1degree,12.8°C,68.5%,9.1km/h,91.8kPa
17:00                                                     1405/04/03,350.6mm,105W/m2,146.2degree,20.4°C,44.3%,6.6km/h,91.3kPa
17:00                                                     1405/04/04,350.6mm,35W/m2,206.0degree,22.4°C,36.2%,17.5km/h,90.8kPa
17:00                                                     1405/04/08,406.4mm,48W/m2,52.6degree,15.7°C,61.4%,5.0km/h,91.3kPa
17:00                                                     1405/04/09,406.4mm,44W/m2,7.6degree,15.8°C,59.2%,3.8km/h,91.5kPa
17:00                                                     1405/04/10,406.8mm,90W/m2,204.1degree,18.8°C,58.5%,0.7km/h,92.1kPa
17:00                                                     1405/04/11,406.8mm,127W/m2,145.4degree,24.7°C,28.2%,5.7km/h,92.3kPa
17:00                                                     1405/04/12,355.2mm,154W/m2,169.2degree,25.7°C,27.3%,5.3km/h,91.7kPa
17:00                                                     1405/04/13,355.2mm,95W/m2,164.8degree,26.4°C,33.2%,4.8km/h,91.4kPa
17:00                                                     1405/04/14,355.2mm,101W/m2,307.3degree,25.5°C,22.1%,5.9km/h,91.4kPa
17:00                                                     1405/04/15,355.2mm,84W/m2,74.7degree,17.7°C,48.8%,15.6km/h,91.6kPa
17:00                                                     1405/04/16,355.2mm,113W/m2,87.1degree,12.7°C,58.7%,10.6km/h,91.9kPa
17:00                                                     1405/04/17,355.2mm,102W/m2,96.2degree,15.0°C,42.6%,13.7km/h,92.1kPa
17:00                                                     1405/04/18,355.2mm,116W/m2,94.1degree,21.2°C,33.0%,10.7km/h,91.7kPa
17:00                                                     1405/04/19,355.2mm,223W/m2,143.6degree,25.7°C,31.1%,4.6km/h,91.3kPa
17:00                                                     1405/04/20,355.2mm,82W/m2,236.6degree,29.3°C,26.3%,7.1km/h,91.0kPa
17:00                                                     1405/04/21,355.2mm,76W/m2,80.9degree,23.9°C,41.0%,9.2km/h,90.9kPa
17:00                                                     1405/04/22,358.8mm,16W/m2,62.6degree,19.5°C,72.8%,15.3km/h,91.1kPa
17:00                                                     1405/04/23,367.4mm,138W/m2,121.0degree,25.4°C,45.6%,5.6km/h,91.4kPa
17:00                                                     1405/04/24,376.8mm,40W/m2,333.5degree,22.7°C,53.6%,3.3km/h,91.4kPa
17:00                                                     1405/04/25,376.8mm,68W/m2,129.8degree,28.0°C,40.1%,1.9km/h,91.5kPa
17:00                                                     1405/04/26,376.8mm,96W/m2,75.6degree,20.5°C,44.7%,15.6km/h,91.9kPa
17:00                                                     1405/04/27,376.8mm,90W/m2,85.7degree,24.6°C,37.5%,9.7km/h,91.2kPa
17:00                                                     1405/04/28,376.8mm,129W/m2,74.5degree,26.7°C,28.5%,13.9km/h,91.3kPa
17:00                                                     1405/04/29,376.8mm,149W/m2,68.7degree,27.1°C,30.1%,9.9km/h,91.2kPa
17:00                                                     1405/04/30,376.8mm,39W/m2,73.3degree,21.9°C,44.7%,13.8km/h,91.4kPa
17:00                                                     1405/05/01,376.8mm,48W/m2,72.3degree,16.9°C,60.5%,18.3km/h,91.8kPa
17:00                                                     1405/05/02,376.8mm,155W/m2,102.8degree,24.3°C,38.6%,10.6km/h,91.7kPa
17:00                                                     1405/05/03,376.8mm,128W/m2,62.3degree,25.6°C,30.5%,17.4km/h,91.8kPa
17:00                                                     1405/05/04,376.8mm,153W/m2,131.4degree,29.3°C,21.4%,3.6km/h,91.6kPa
17:00                                                     1405/05/05,376.8mm,140W/m2,145.1degree,33.8°C,16.3%,8.8km/h,91.5kPa
17:00                                                     1405/05/06,376.8mm,64W/m2,140.8degree,34.8°C,15.9%,5.1km/h,91.2kPa
17:00                                                     1405/05/07,376.8mm,67W/m2,71.2degree,29.3°C,32.4%,18.3km/h,91.4kPa
17:00                                                     1405/05/08,376.8mm,139W/m2,63.0degree,28.9°C,28.7%,14.4km/h,91.5kPa
17:00                                                     1405/05/09,376.8mm,51W/m2,37.7degree,23.5°C,34.5%,13.5km/h,91.6kPa
17:00                                                     1405/05/10,378.4mm,161W/m2,82.1degree,21.7°C,51.8%,18.8km/h,91.9kPa
17:00                                                     1405/05/11,378.4mm,163W/m2,88.3degree,26.4°C,30.2%,16.6km/h,91.5kPa
17:10                                                     1405/03/21,290.2mm,51W/m2,284.9degree,22.7°C,28.4%,1.4km/h,91.3kPa
17:10                                                     1405/03/22,290.6mm,60W/m2,308.8degree,16.4°C,58.1%,7.1km/h,91.9kPa
17:10                                                     1405/03/23,290.6mm,41W/m2,138.2degree,25.0°C,30.6%,6.7km/h,91.8kPa
17:10                                                     1405/03/25,295.0mm,11W/m2,123.4degree,16.9°C,83.5%,5.8km/h,90.8kPa
17:10                                                     1405/03/26,295.0mm,54W/m2,202.8degree,23.6°C,44.4%,14.5km/h,91.2kPa
17:10                                                     1405/03/27,297.2mm,20W/m2,195.2degree,22.9°C,50.2%,26.7km/h,90.7kPa
17:10                                                     1405/03/29,304.2mm,11W/m2,306.1degree,17.9°C,43.7%,3.8km/h,90.8kPa
17:10                                                     1405/03/30,325.8mm,8W/m2,207.9degree,22.3°C,25.0%,5.2km/h,91.0kPa
17:10                                                     1405/03/31,325.8mm,78W/m2,182.4degree,24.9°C,22.2%,7.7km/h,90.8kPa
17:10                                                     1405/04/01,350.4mm,18W/m2,328.9degree,11.2°C,81.5%,2.0km/h,91.5kPa
17:10                                                     1405/04/02,350.6mm,37W/m2,116.9degree,12.9°C,69.1%,9.3km/h,91.8kPa
17:10                                                     1405/04/03,350.6mm,81W/m2,157.3degree,19.9°C,48.0%,5.9km/h,91.3kPa
17:10                                                     1405/04/04,350.6mm,24W/m2,203.6degree,21.8°C,36.6%,17.4km/h,90.8kPa
17:10                                                     1405/04/08,406.4mm,50W/m2,88.7degree,15.6°C,63.8%,2.3km/h,91.4kPa
17:10                                                     1405/04/09,406.4mm,48W/m2,334.2degree,16.3°C,52.7%,8.0km/h,91.5kPa
17:10                                                     1405/04/11,406.8mm,101W/m2,160.0degree,24.2°C,31.5%,5.6km/h,92.3kPa
17:10                                                     1405/04/12,355.2mm,122W/m2,173.4degree,24.9°C,30.3%,3.8km/h,91.7kPa
17:10                                                     1405/04/13,355.2mm,72W/m2,161.9degree,25.4°C,36.1%,8.0km/h,91.3kPa
17:10                                                     1405/04/14,355.2mm,79W/m2,310.1degree,25.1°C,22.9%,11.8km/h,91.4kPa
17:10                                                     1405/04/15,355.2mm,40W/m2,91.9degree,17.4°C,50.5%,11.2km/h,91.6kPa
17:10                                                     1405/04/16,355.2mm,91W/m2,93.6degree,12.5°C,59.8%,9.8km/h,91.9kPa
17:10                                                     1405/04/17,355.2mm,58W/m2,79.7degree,14.7°C,43.1%,21.6km/h,92.1kPa
17:10                                                     1405/04/18,355.2mm,90W/m2,97.9degree,20.7°C,34.3%,14.5km/h,91.7kPa
17:10                                                     1405/04/19,355.2mm,199W/m2,187.6degree,26.7°C,25.3%,10.6km/h,91.2kPa
17:10                                                     1405/04/20,355.2mm,65W/m2,254.1degree,28.9°C,27.0%,7.7km/h,91.0kPa
17:10                                                     1405/04/21,355.2mm,54W/m2,84.1degree,23.6°C,41.5%,5.9km/h,90.9kPa
17:10                                                     1405/04/22,358.8mm,10W/m2,47.6degree,19.2°C,78.8%,8.9km/h,91.2kPa
17:10                                                     1405/04/24,376.8mm,46W/m2,342.9degree,22.6°C,49.3%,5.5km/h,91.4kPa
17:10                                                     1405/04/25,376.8mm,60W/m2,129.7degree,27.8°C,38.9%,2.7km/h,91.5kPa
17:10                                                     1405/04/26,376.8mm,89W/m2,67.0degree,20.3°C,46.7%,8.6km/h,91.9kPa
17:10                                                     1405/04/29,376.8mm,126W/m2,73.5degree,26.9°C,30.6%,10.7km/h,91.2kPa
17:10                                                     1405/04/30,376.8mm,34W/m2,51.0degree,21.7°C,45.3%,11.0km/h,91.4kPa
17:10                                                     1405/05/01,376.8mm,34W/m2,77.4degree,16.7°C,60.8%,10.5km/h,91.8kPa
17:10                                                     1405/05/03,376.8mm,133W/m2,58.0degree,25.2°C,29.7%,18.6km/h,91.7kPa
17:10                                                     1405/05/04,376.8mm,126W/m2,106.7degree,29.2°C,21.7%,4.1km/h,91.6kPa
17:10                                                     1405/05/05,376.8mm,111W/m2,137.5degree,33.5°C,17.0%,5.7km/h,91.5kPa
17:10                                                     1405/05/07,376.8mm,68W/m2,96.9degree,28.8°C,33.0%,12.0km/h,91.4kPa
17:10                                                     1405/05/08,376.8mm,113W/m2,64.8degree,28.6°C,29.6%,17.6km/h,91.5kPa
17:10                                                     1405/05/09,376.8mm,50W/m2,68.6degree,23.5°C,34.4%,11.6km/h,91.6kPa
17:10                                                     1405/05/10,378.4mm,133W/m2,73.8degree,21.6°C,51.9%,19.8km/h,91.9kPa
17:20                                                     1405/03/21,290.2mm,31W/m2,274.7degree,22.0°C,27.9%,9.5km/h,91.2kPa
17:20                                                     1405/03/22,290.6mm,17W/m2,316.6degree,15.5°C,65.6%,11.6km/h,91.9kPa
17:20                                                     1405/03/23,290.6mm,22W/m2,135.3degree,24.2°C,32.8%,3.9km/h,91.8kPa
17:20                                                     1405/03/24,290.6mm,7W/m2,232.6degree,22.7°C,30.9%,4.8km/h,91.3kPa
17:20                                                     1405/03/25,295.0mm,14W/m2,142.3degree,16.7°C,84.2%,4.1km/h,90.8kPa
17:20                                                     1405/03/26,295.0mm,31W/m2,199.0degree,23.0°C,45.9%,10.9km/h,91.2kPa
17:20                                                     1405/03/27,297.2mm,12W/m2,190.6degree,22.5°C,50.2%,31.5km/h,90.7kPa
17:20                                                     1405/03/28,304.2mm,46W/m2,237.3degree,20.4°C,35.5%,5.0km/h,90.7kPa
17:20                                                     1405/03/29,304.2mm,8W/m2,308.2degree,18.0°C,42.5%,0.6km/h,90.8kPa
17:20                                                     1405/03/30,325.8mm,6W/m2,213.7degree,22.2°C,24.8%,8.2km/h,91.0kPa
17:20                                                     1405/03/31,325.8mm,28W/m2,186.0degree,24.1°C,23.0%,5.9km/h,90.7kPa
17:20                                                     1405/04/01,350.4mm,17W/m2,355.0degree,11.2°C,81.1%,2.5km/h,91.5kPa
17:20                                                     1405/04/03,350.6mm,60W/m2,148.9degree,19.5°C,49.5%,3.5km/h,91.3kPa
17:20                                                     1405/04/04,350.6mm,16W/m2,206.0degree,21.2°C,38.6%,15.0km/h,90.8kPa
17:20                                                     1405/04/08,406.4mm,85W/m2,158.0degree,15.8°C,63.7%,3.0km/h,91.4kPa
17:20                                                     1405/04/09,406.4mm,41W/m2,34.5degree,16.9°C,47.4%,1.2km/h,91.4kPa
17:20                                                     1405/04/10,406.8mm,40W/m2,50.2degree,17.5°C,63.5%,2.8km/h,92.1kPa
17:20                                                     1405/04/11,406.8mm,76W/m2,125.2degree,23.7°C,36.7%,3.5km/h,92.3kPa
17:20                                                     1405/04/12,355.2mm,90W/m2,187.2degree,24.0°C,34.3%,4.5km/h,91.7kPa
17:20                                                     1405/04/13,355.2mm,43W/m2,165.6degree,24.5°C,37.3%,6.4km/h,91.3kPa
17:20                                                     1405/04/14,355.2mm,56W/m2,302.9degree,24.4°C,23.8%,11.5km/h,91.4kPa
17:20                                                     1405/04/15,355.2mm,36W/m2,39.1degree,16.8°C,51.7%,16.3km/h,91.6kPa
